level,zeroten1,zeroten2,dali1,dali2,dali3,dali4,espnow,relay1,relay2
0,0,0,67,0,0,0,0,0,0
1,0,1,68,1,1,1,1,1,1
2,0,2,69,2,2,2,2,2,2
3,0,3,70,3,3,3,3,3,3
4,0,4,71,4,4,4,4,4,4
5,0,5,72,5,5,5,5,5,5
6,0,6,73,6,6,6,6,6,6
7,0,7,74,7,7,7,7,7,7
8,0,8,75,8,8,8,8,8,8
9,0,9,76,9,9,9,9,9,9
10,0,10,77,10,10,10,10,10,10
11,0,11,78,11,11,11,11,11,11
12,0,12,79,12,12,12,12,12,12
13,0,13,80,13,13,13,13,13,13
14,0,14,81,14,14,14,14,14,14
15,0,15,82,15,15,15,15,15,15
16,0,16,83,16,16,16,16,16,16
17,0,17,84,17,17,17,17,17,17
18,0,18,85,18,18,18,18,18,18
19,0,19,86,19,19,19,19,19,19
20,0,20,87,20,20,20,20,20,20
21,0,21,88,21,21,21,21,21,21
22,0,22,89,22,22,22,22,22,22
23,0,23,90,23,23,23,23,23,23
24,0,24,91,24,24,24,24,24,24
25,0,25,92,25,25,25,25,25,25
26,0,26,93,26,26,26,26,26,26
27,0,27,94,27,27,27,27,27,27
28,0,28,95,28,28,28,28,28,28
29,0,29,96,29,29,29,29,29,29
30,0,30,97,30,30,30,30,30,30
31,0,31,98,31,31,31,31,31,31
32,0,32,99,32,32,32,32,32,32
33,0,33,100,33,33,33,33,33,33
34,0,34,101,34,34,34,34,34,34
35,0,35,102,35,35,35,35,35,35
36,0,36,103,36,36,36,36,36,36
37,0,37,104,37,37,37,37,37,37
38,0,38,105,38,38,38,38,38,38
39,0,39,106,39,39,39,39,39,39
40,0,40,107,40,40,40,40,40,40
41,0,41,108,41,41,41,41,41,41
42,0,42,109,42,42,42,42,42,42
43,0,43,110,43,43,43,43,43,43
44,0,44,111,44,44,44,44,44,44
45,0,45,112,45,45,45,45,45,45
46,0,46,113,46,46,46,46,46,46
47,0,47,114,47,47,47,47,47,47
48,0,48,115,48,48,48,48,48,48
49,0,49,116,49,49,49,49,49,49
50,0,50,117,50,50,50,50,50,50
51,0,51,118,51,51,51,51,51,51
52,0,52,119,52,52,52,52,52,52
53,0,53,120,53,53,53,53,53,53
54,0,54,121,54,54,54,54,54,54
55,0,55,122,55,55,55,55,55,55
56,0,56,123,56,56,56,56,56,56
57,0,57,124,57,57,57,57,57,57
58,0,58,125,58,58,58,58,58,58
59,0,59,126,59,59,59,59,59,59
60,0,60,127,60,60,60,60,60,60
61,0,61,128,61,61,61,61,61,61
62,0,62,129,62,62,62,62,62,62
63,0,63,130,63,63,63,63,63,63
64,0,64,131,64,64,64,64,64,64
65,0,65,132,65,65,65,65,65,65
66,0,66,133,66,66,66,66,66,66
67,0,67,134,67,67,67,67,67,67
68,0,68,135,68,68,68,68,68,68
69,0,69,136,69,69,69,69,69,69
70,0,70,137,70,70,70,70,70,70
71,0,71,138,71,71,71,71,71,71
72,0,72,139,72,72,72,72,72,72
73,0,73,140,73,73,73,73,73,73
74,0,74,141,74,74,74,74,74,74
75,0,75,142,75,75,75,75,75,75
76,0,76,143,76,76,76,76,76,76
77,0,77,144,77,77,77,77,77,77
78,0,78,145,78,78,78,78,78,78
79,0,79,146,79,79,79,79,79,79
80,0,80,147,80,80,80,80,80,80
81,0,81,148,81,81,81,81,81,81
82,0,82,149,82,82,82,82,82,82
83,0,83,150,83,83,83,83,83,83
84,0,84,151,84,84,84,84,84,84
85,0,85,152,85,85,85,85,85,85
86,0,86,153,86,86,86,86,86,86
87,0,87,154,87,87,87,87,87,87
88,0,88,155,88,88,88,88,88,88
89,0,89,156,89,89,89,89,89,89
90,0,90,157,90,90,90,90,90,90
91,0,91,158,91,91,91,91,91,91
92,0,92,159,92,92,92,92,92,92
93,0,93,160,93,93,93,93,93,93
94,0,94,161,94,94,94,94,94,94
95,0,95,162,95,95,95,95,95,95
96,0,96,163,96,96,96,96,96,96
97,0,97,164,97,97,97,97,97,97
98,0,98,165,98,98,98,98,98,98
99,0,99,166,99,99,99,99,99,99
100,0,100,167,100,100,100,100,100,100
101,0,101,168,101,101,101,101,101,101
102,0,102,169,102,102,102,102,102,102
103,0,103,170,103,103,103,103,103,103
104,0,104,171,104,104,104,104,104,104
105,0,105,172,105,105,105,105,105,105
106,0,106,173,106,106,106,106,106,106
107,0,107,174,107,107,107,107,107,107
108,0,108,175,108,108,108,108,108,108
109,0,109,176,109,109,109,109,109,109
110,0,110,177,110,110,110,110,110,110
111,0,111,178,111,111,111,111,111,111
112,0,112,179,112,112,112,112,112,112
113,0,113,180,113,113,113,113,113,113
114,0,114,181,114,114,114,114,114,114
115,0,115,182,115,115,115,115,115,115
116,0,116,183,116,116,116,116,116,116
117,0,117,184,117,117,117,117,117,117
118,0,118,185,118,118,118,118,118,118
119,0,119,186,119,119,119,119,119,119
120,0,120,187,120,120,120,120,120,120
121,0,121,188,121,121,121,121,121,121
122,0,122,189,122,122,122,122,122,122
123,0,123,190,123,123,123,123,123,123
124,0,124,191,124,124,124,124,124,124
125,0,125,192,125,125,125,125,125,125
126,0,126,193,126,126,126,126,126,126
127,0,127,194,127,127,127,127,127,127
128,0,128,195,128,128,128,128,128,128
129,0,129,196,129,129,129,129,129,129
130,0,130,197,130,130,130,130,130,130
131,0,131,198,131,131,131,131,131,131
132,0,132,199,132,132,132,132,132,132
133,0,133,200,133,133,133,133,133,133
134,0,134,201,134,134,134,134,134,134
135,0,135,202,135,135,135,135,135,135
136,0,136,203,136,136,136,136,136,136
137,0,137,204,137,137,137,137,137,137
138,0,138,205,138,138,138,138,138,138
139,0,139,206,139,139,139,139,139,139
140,0,140,207,140,140,140,140,140,140
141,0,141,208,141,141,141,141,141,141
142,0,142,209,142,142,142,142,142,142
143,0,143,210,143,143,143,143,143,143
144,0,144,211,144,144,144,144,144,144
145,0,145,212,145,145,145,145,145,145
146,0,146,213,146,146,146,146,146,146
147,0,147,214,147,147,147,147,147,147
148,0,148,215,148,148,148,148,148,148
149,0,149,216,149,149,149,149,149,149
150,0,150,217,150,150,150,150,150,150
151,0,151,218,151,151,151,151,151,151
152,0,152,219,152,152,152,152,152,152
153,0,153,220,153,153,153,153,153,153
154,0,154,221,154,154,154,154,154,154
155,0,155,222,155,155,155,155,155,155
156,0,156,223,156,156,156,156,156,156
157,0,157,224,157,157,157,157,157,157
158,0,158,225,158,158,158,158,158,158
159,0,159,226,159,159,159,159,159,159
160,0,160,227,160,160,160,160,160,160
161,0,161,228,161,161,161,161,161,161
162,0,162,229,162,162,162,162,162,162
163,0,163,230,163,163,163,163,163,163
164,0,164,231,164,164,164,164,164,164
165,0,165,232,165,165,165,165,165,165
166,0,166,233,166,166,166,166,166,166
167,0,167,234,167,167,167,167,167,167
168,0,168,235,168,168,168,168,168,168
169,0,169,236,169,169,169,169,169,169
170,0,170,237,170,170,170,170,170,170
171,0,171,238,171,171,171,171,171,171
172,0,172,239,172,172,172,172,172,172
173,0,173,240,173,173,173,173,173,173
174,0,174,241,174,174,174,174,174,174
175,0,175,242,175,175,175,175,175,175
176,0,176,243,176,176,176,176,176,176
177,0,177,244,177,177,177,177,177,177
178,0,178,245,178,178,178,178,178,178
179,0,179,246,179,179,179,179,179,179
180,0,180,247,180,180,180,180,180,180
181,0,181,248,181,181,181,181,181,181
182,0,182,249,182,182,182,182,182,182
183,0,183,250,183,183,183,183,183,183
184,0,184,251,184,184,184,184,184,184
185,17,185,252,185,185,185,185,185,185
186,59,186,252,186,186,186,186,186,186
187,80,187,252,187,187,187,187,187,187
188,94,188,253,188,188,188,188,188,188
189,104,189,253,189,189,189,189,189,189
190,113,190,253,190,190,190,190,190,190
191,121,191,253,191,191,191,191,191,191
192,128,192,253,192,192,192,192,192,192
193,134,193,253,193,193,193,193,193,193
194,140,194,253,194,194,194,194,194,194
195,145,195,253,195,195,195,195,195,195
196,150,196,253,196,196,196,196,196,196
197,154,197,253,197,197,197,197,197,197
198,159,198,252,198,198,198,198,198,198
199,163,199,252,199,199,199,199,199,199
200,167,200,252,200,200,200,200,200,200
201,170,201,251,201,201,201,201,201,201
202,174,202,250,202,202,202,202,202,202
203,178,203,250,203,203,203,203,203,203
204,181,204,249,204,204,204,204,204,204
