level,zeroten1,zeroten2,dalia,dalib,dalic,dalid,dalie,dalif,dalig,dalih,espnow,relay1,relay2,r,g,b,power
0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,3,0,0.0010089532
2,2,2,2,2,2,2,2,2,2,2,2,1,1,27,4,0,0.001048749
3,4,4,4,4,4,4,4,4,4,4,4,1,1,28,5,0,0.0010912809
4,5,5,5,5,5,5,5,5,5,5,5,1,1,29,6,0,0.0011363289
5,7,7,7,7,7,7,7,7,7,7,7,1,1,29,7,0,0.0011838338
6,8,8,8,8,8,8,8,8,8,8,8,1,1,30,8,0,0.0012338
7,10,10,10,10,10,10,10,10,10,10,10,1,1,31,9,0,0.001286265
8,11,11,11,11,11,11,11,11,11,11,11,1,1,31,10,0,0.0013412863
9,13,13,13,13,13,13,13,13,13,13,13,1,1,32,11,0,0.0013989352
10,14,14,14,14,14,14,14,14,14,14,14,1,1,33,12,0,0.0014592938
11,16,16,16,16,16,16,16,16,16,16,16,1,1,32,12,0,0.0015224523
12,17,17,17,17,17,17,17,17,17,17,17,1,1,32,12,0,0.0015885084
13,19,19,19,19,19,19,19,19,19,19,19,1,1,31,13,0,0.0016575662
14,21,21,21,21,21,21,21,21,21,21,21,1,1,31,13,0,0.0017297357
15,22,22,22,22,22,22,22,22,22,22,22,1,1,30,14,0,0.0018051329
16,24,24,24,24,24,24,24,24,24,24,24,1,1,30,14,0,0.0018838791
17,25,25,25,25,25,25,25,25,25,25,25,1,1,29,15,0,0.0019661013
18,27,27,27,27,27,27,27,27,27,27,27,1,1,29,15,0,0.0020519317
19,28,28,28,28,28,28,28,28,28,28,28,1,1,28,15,0,0.0021415079
20,30,30,30,30,30,30,30,30,30,30,30,1,1,28,16,0,0.0022349731
21,32,32,32,32,32,32,32,32,32,32,32,1,1,27,16,0,0.0023324759
22,33,33,33,33,33,33,33,33,33,33,33,1,1,27,17,0,0.0024341706
23,35,35,35,35,35,35,35,35,35,35,35,1,1,26,17,0,0.0025402169
24,36,36,36,36,36,36,36,36,36,36,36,1,1,26,17,0,0.0026507806
25,38,38,38,38,38,38,38,38,38,38,38,1,1,25,18,0,0.0027660332
26,39,39,39,39,39,39,39,39,39,39,39,1,1,25,18,0,0.0028861522
27,41,41,41,41,41,41,41,41,41,41,41,1,1,24,19,0,0.0030113213
28,42,42,42,42,42,42,42,42,42,42,42,1,1,24,19,0,0.0031417306
29,44,44,44,44,44,44,44,44,44,44,44,1,1,23,20,0,0.0032775763
30,46,46,46,46,46,46,46,46,46,46,46,1,1,23,20,0,0.0034190615
31,47,47,47,47,47,47,47,47,47,47,47,1,1,23,20,0,0.0035663957
32,49,49,49,49,49,49,49,49,49,49,49,1,1,22,20,0,0.0037197954
33,50,50,50,50,50,50,50,50,50,50,50,1,1,22,20,0,0.0038794843
34,52,52,52,52,52,52,52,52,52,52,52,1,1,22,20,0,0.0040456928
35,53,53,53,53,53,53,53,53,53,53,53,1,1,21,20,0,0.0042186592
36,55,55,55,55,55,55,55,55,55,55,55,1,1,21,20,0,0.0043986288
37,56,56,56,56,56,56,56,56,56,56,56,1,1,20,20,0,0.0045858548
38,58,58,58,58,58,58,58,58,58,58,58,1,1,20,20,0,0.0047805983
39,59,59,59,59,59,59,59,59,59,59,59,1,1,20,21,0,0.0049831282
40,61,61,61,61,61,61,61,61,61,61,61,1,1,19,21,0,0.0051937215
41,62,62,62,62,62,62,62,62,62,62,62,1,1,19,21,0,0.0054126639
42,64,64,64,64,64,64,64,64,64,64,64,1,1,19,21,0,0.0056402492
43,65,65,65,65,65,65,65,65,65,65,65,1,1,18,21,0,0.00587678
44,67,67,67,67,67,67,67,67,67,67,67,1,1,18,21,0,0.0061225679
45,68,68,68,68,68,68,68,68,68,68,68,1,1,18,21,0,0.0063779332
46,70,70,70,70,70,70,70,70,70,70,70,1,1,17,21,1,0.0066432056
47,71,71,71,71,71,71,71,71,71,71,71,1,1,17,21,1,0.0069187242
48,73,73,73,73,73,73,73,73,73,73,73,1,1,16,21,1,0.0072048374
49,74,74,74,74,74,74,74,74,74,74,74,1,1,16,21,1,0.0075019034
50,76,76,76,76,76,76,76,76,76,76,76,1,1,16,21,1,0.0078102904
51,77,77,77,77,77,77,77,77,77,77,77,1,1,15,21,1,0.0081303764
52,79,79,79,79,79,79,79,79,79,79,79,1,1,15,21,1,0.0084625496
53,80,80,80,80,80,80,80,80,80,80,80,1,1,15,21,1,0.0088072088
