level,zeroten1,zeroten2,hexagons,tv 5000k,tv 6500k,corner 6500k,F90L,F90R,dalig,dalih,piano,relay1,relay2,r,g,b,power
0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0
1,1,1,0,0,4,0,0,0,1,1,12,0,0,27,3,0,0.066490984
2,2,2,0,0,6,0,0,0,2,2,14,0,0,27,4,0,0.070222806
3,4,4,0,0,8,0,0,0,4,4,17,0,0,28,5,0,0.075498133
4,5,5,0,0,10,2,0,0,5,5,18,0,0,29,6,0,0.10037028
5,7,7,0,0,12,3,0,0,7,7,20,0,0,29,7,0,0.10537653
6,8,8,0,0,13,5,0,0,8,8,22,0,0,30,8,0,0.11046691
7,10,10,0,0,15,7,0,0,10,10,23,0,0,31,9,0,0.11505186
8,11,11,0,0,17,9,0,0,11,11,25,0,0,31,10,0,0.12150918
9,13,13,0,0,18,10,0,0,13,13,27,0,0,32,11,0,0.12662537
10,14,14,0,0,20,12,0,0,14,14,28,0,0,33,12,0,0.13188099
11,16,16,0,0,22,14,0,0,16,16,30,0,0,32,12,0,0.13928284
12,17,17,0,0,24,16,0,0,17,17,32,0,0,32,12,0,0.14710012
13,19,19,0,0,25,17,0,0,19,19,33,0,0,31,13,0,0.15117178
14,21,21,0,0,27,19,0,0,21,21,35,0,0,31,13,0,0.15965633
15,22,22,0,0,29,21,0,0,22,22,37,0,0,30,14,0,0.16861708
16,24,24,0,0,30,22,0,0,24,24,38,0,0,30,14,0,0.17328432
17,25,25,0,0,32,24,0,0,25,25,40,0,0,29,15,0,0.18300995
18,27,27,0,0,34,26,0,0,27,27,42,0,0,29,15,0,0.19328142
19,28,28,0,0,36,28,0,0,28,28,44,0,0,28,15,0,0.20412938
20,30,30,0,0,37,29,0,0,30,30,45,0,0,28,16,0,0.20977959
21,32,32,0,0,39,31,0,0,32,32,47,0,0,27,16,0,0.22155351
22,33,33,0,0,41,33,0,0,33,33,49,0,0,27,17,0,0.23398825
23,35,35,0,0,43,35,0,0,35,35,50,0,0,26,17,0,0.24374541
24,36,36,0,0,44,36,0,0,36,36,52,0,0,26,17,0,0.25396109
25,38,38,0,0,46,38,0,0,38,38,54,0,0,25,18,0,0.26821471
26,39,39,0,0,48,40,0,0,39,39,55,0,0,25,18,0,0.27939909
27,41,41,0,0,50,42,0,0,41,41,57,0,0,24,19,0,0.29508043
28,42,42,0,0,51,43,0,0,42,42,59,0,0,24,19,0,0.30744762
29,44,44,0,0,53,45,0,0,44,44,61,0,0,23,20,0,0.32470318
30,46,46,0,0,55,47,0,0,46,46,62,0,0,23,20,0,0.33824309
31,47,47,0,0,56,49,0,0,47,47,64,0,0,23,20,0,0.35456168
32,49,49,0,0,58,50,0,0,49,49,66,0,0,22,20,0,0.3721989
33,50,50,0,0,60,52,0,0,50,50,67,0,0,22,20,0,0.38771935
34,52,52,0,0,62,54,0,0,52,52,69,0,0,22,20,0,0.40948018
35,53,53,0,0,63,56,0,0,53,53,70,0,0,21,20,0,0.423408
36,55,55,0,0,65,57,0,0,55,55,72,0,0,21,20,0,0.44443271
37,56,56,0,0,67,59,0,0,56,56,74,0,0,20,20,0,0.46937659
38,58,58,0,0,68,61,0,0,58,58,75,0,0,20,20,0,0.48534169
39,59,59,0,0,70,63,0,0,59,59,77,0,0,20,21,0,0.5125816
40,61,61,0,0,72,64,0,0,61,61,79,0,0,19,21,0,0.5380343
41,62,62,0,0,73,66,0,0,62,62,80,0,0,19,21,0,0.55633468
42,64,64,0,0,75,68,0,0,64,64,82,0,0,19,21,0,0.58755909
43,65,65,0,0,77,70,0,0,65,65,83,0,0,18,21,0,0.61222522
44,67,67,0,0,79,71,0,0,67,67,85,0,0,18,21,0,0.64257205
45,68,68,0,0,80,73,0,0,68,68,87,0,0,18,21,0,0.67350386
46,70,70,0,0,82,75,0,0,70,70,88,0,0,17,21,1,0.701778
47,71,71,0,0,84,77,0,0,71,71,90,0,0,17,21,1,0.74116545
48,73,73,0,0,85,78,0,0,73,73,91,0,0,16,21,1,0.76168056
49,74,74,0,0,87,80,0,0,74,74,93,0,0,16,21,1,0.80443006
50,76,76,0,0,89,82,0,0,76,76,94,0,0,16,21,1,0.83835674
51,77,77,0,0,90,84,0,0,77,77,96,0,0,15,21,1,0.87866563
52,79,79,0,0,92,85,0,0,79,79,98,0,0,15,21,1,0.92209746
53,80,80,0,0,94,87,0,0,80,80,99,0,0,15,21,1,0.96098674
54,82,82,0,0,95,89,0,0,82,82,101,0,0,14,22,1,1.0071918
55,83,83,0,0,97,91,0,0,83,83,102,0,0,14,22,1,1.049759
56,85,85,0,0,99,92,0,0,85,85,104,0,0,14,22,1,1.1015544
57,86,86,0,0,100,94,0,0,86,86,105,0,0,13,22,1,1.1393646
58,87,87,0,0,102,96,0,0,87,87,106,0,0,13,22,1,1.1877388
59,89,89,0,0,104,98,0,0,89,89,108,0,0,12,22,1,1.254401
60,90,90,0,0,105,99,0,0,90,90,109,0,0,12,22,1,1.2891222
61,92,92,0,0,107,101,0,0,92,92,111,0,0,12,22,1,1.3614745
62,93,93,0,0,108,103,0,0,93,93,112,0,0,11,22,1,1.4085181
63,95,95,0,0,110,105,0,0,95,95,114,0,0,11,22,1,1.4875715
64,96,96,0,0,112,106,0,0,96,96,115,0,0,11,22,1,1.5407124
65,97,97,0,0,113,108,0,0,97,97,116,0,0,11,22,1,1.5940862
66,99,99,0,0,115,110,0,0,99,99,118,0,0,11,22,1,1.6835546
67,100,100,0,0,117,112,0,0,100,100,119,0,0,11,22,1,1.7558361
68,102,102,0,0,118,114,0,0,102,102,120,0,0,11,22,2,1.8170739
69,103,103,0,0,120,115,0,0,103,103,122,0,0,10,22,2,1.9057112
70,104,104,0,0,121,117,0,0,104,104,123,0,0,10,22,2,1.9721762
71,106,106,0,0,123,119,0,0,106,106,124,0,0,10,22,2,2.0574081
72,107,107,0,0,125,121,0,0,107,107,125,0,0,10,22,2,2.146719
73,108,108,0,0,126,123,0,0,108,108,127,0,0,10,22,2,2.2491822
74,110,110,0,0,128,125,0,0,110,110,128,0,0,10,22,2,2.3470233
75,111,111,0,0,129,127,0,0,111,111,129,0,0,10,21,2,2.4300097
76,112,112,0,0,131,128,0,0,112,112,130,0,0,10,21,2,2.5173728
77,114,114,0,0,133,130,0,0,114,114,131,0,0,10,21,3,2.6278425
78,115,115,0,0,134,132,0,0,115,115,133,0,0,10,21,3,2.7529094
79,116,116,0,0,135,133,0,0,116,116,134,0,0,10,21,3,2.8291087
80,118,118,0,0,136,135,0,0,118,118,136,0,0,10,21,3,2.9642133
81,119,119,0,0,138,137,0,0,119,119,137,0,0,10,21,3,3.0942762
82,120,120,0,0,139,138,0,0,120,120,139,0,0,10,21,3,3.2172334
83,122,122,0,0,140,140,0,0,122,122,140,0,0,10,21,3,3.331986
84,123,123,0,0,141,142,0,0,123,123,142,0,0,10,21,3,3.491851
85,124,124,0,0,142,143,0,0,124,124,144,0,0,10,21,3,3.6312702
86,126,126,0,0,144,144,0,0,126,126,145,0,0,10,21,4,3.760449
87,127,127,0,0,145,145,0,0,127,127,147,0,0,10,21,4,3.9109534
88,128,128,0,0,146,146,0,0,128,128,148,0,0,10,21,4,4.0192067
89,129,129,0,6,147,147,0,0,129,129,149,0,0,10,21,4,4.152465
90,131,131,2,15,148,149,0,0,131,131,151,0,0,10,21,4,4.4115114
91,132,132,10,23,149,150,0,0,132,132,152,0,0,10,20,4,4.5513879
92,133,133,17,30,150,151,0,0,133,133,154,0,0,10,20,4,4.752244
93,135,135,24,37,151,152,0,0,135,135,155,0,0,10,20,4,4.9064017
94,136,136,30,43,152,153,0,0,136,136,157,0,0,10,20,5,5.1256987
95,137,137,36,49,153,154,0,0,137,137,158,0,0,10,20,5,5.2940816
96,138,138,41,55,154,155,0,0,138,138,160,0,0,10,20,5,5.5337072
97,139,139,47,60,155,156,0,0,139,139,161,0,0,10,20,5,5.7203474
98,141,141,52,65,155,157,0,0,141,141,163,0,0,10,20,5,5.9440119
99,142,142,57,70,156,158,0,0,142,142,164,0,0,10,20,5,6.1466682
100,143,143,61,75,157,159,0,0,143,143,166,0,0,10,20,5,6.4310113
101,144,144,66,79,158,159,0,0,144,144,167,0,0,10,20,5,6.6093889
102,146,146,70,84,158,160,0,0,146,146,169,0,0,10,20,5,6.8801111
103,147,147,75,88,159,161,0,0,147,147,170,0,0,10,20,6,7.1277541
104,148,148,79,92,160,161,0,0,148,148,171,0,0,10,20,6,7.3310319
105,149,149,83,96,161,162,0,0,149,149,173,0,0,10,20,6,7.6872977
106,150,150,87,100,162,162,0,0,150,150,174,0,0,10,20,6,7.9176671
107,151,151,91,104,163,162,0,0,151,151,175,0,0,10,19,6,8.1620003
108,153,153,94,108,164,163,0,0,153,153,177,0,0,10,19,6,8.5566021
109,154,154,98,112,165,163,0,0,154,154,178,0,0,10,19,6,8.833575
110,155,155,102,115,166,163,0,0,155,155,179,0,0,10,19,6,9.1166105
111,156,156,105,119,167,163,0,0,156,156,181,0,0,10,19,6,9.5224996
112,157,157,109,122,168,162,0,0,157,157,182,0,0,10,19,7,9.7949827
113,158,158,112,126,169,162,0,0,158,158,183,0,0,10,19,7,10.121562
114,159,159,116,129,170,162,0,0,159,159,185,0,0,10,19,7,10.61356
115,161,161,119,133,171,161,0,0,161,161,186,0,0,10,19,7,10.937758
116,162,162,123,136,172,160,0,0,162,162,187,0,0,10,19,7,11.304214
117,163,163,126,139,172,159,0,0,163,163,188,0,0,10,19,7,11.592715
118,164,164,129,143,173,157,0,0,164,164,190,0,0,10,19,7,12.099018
119,165,165,133,146,174,155,0,0,165,165,191,0,0,10,19,7,12.516429
120,166,166,136,149,174,153,0,0,166,166,192,0,0,9,19,7,12.8492
121,167,167,139,153,175,150,0,0,167,167,194,0,0,9,19,8,13.444229
122,168,168,142,156,175,146,0,0,168,168,195,0,0,9,19,8,13.784594
123,169,169,146,159,176,141,0,0,169,169,196,0,0,9,18,8,14.284215
124,170,170,148,162,176,140,0,0,170,170,197,0,0,9,18,8,14.716482
125,171,171,151,164,176,140,26,7,171,171,198,0,0,9,18,8,15.327548
126,173,173,153,167,175,139,43,24,173,173,198,0,0,9,18,8,15.603027
127,174,174,156,169,175,139,55,37,174,174,199,0,0,9,18,8,16.236083
128,175,175,158,172,174,138,65,46,175,175,199,0,0,9,18,8,16.567818
129,176,176,161,174,174,138,73,55,176,176,200,0,0,9,18,9,17.271685
130,177,177,163,177,173,137,81,62,177,177,201,0,0,9,18,9,17.877422
131,178,178,166,179,172,136,87,68,178,178,201,0,0,9,18,9,18.366643
132,179,179,168,181,171,135,93,74,179,179,201,0,0,9,18,9,18.771261
133,180,180,170,184,169,134,98,79,180,180,202,0,0,9,18,9,19.424808
134,181,181,172,186,168,132,103,84,181,181,202,0,0,9,18,9,19.874531
135,182,182,175,188,166,130,108,89,182,182,203,0,0,9,18,9,20.691272
136,183,183,177,190,164,128,112,93,183,183,203,0,0,9,18,9,21.164332
137,184,184,179,193,162,126,116,97,184,184,203,0,0,9,18,9,21.782916
138,185,185,181,195,159,123,120,101,185,185,204,0,0,9,18,10,22.518549
139,186,186,184,197,155,119,124,105,186,186,204,0,0,9,17,10,23.249945
140,187,187,186,199,151,115,127,109,187,187,204,0,0,9,17,10,23.831639
141,188,188,188,201,146,110,131,112,188,188,204,0,0,9,17,10,24.454691
142,189,189,190,203,140,104,134,115,189,189,205,0,0,9,17,10,25.320329
143,189,189,192,205,131,95,137,119,189,189,205,0,0,9,17,10,25.977299
144,190,190,194,207,119,83,140,122,190,190,205,0,0,9,17,10,26.674172
145,191,191,196,209,98,62,143,125,191,191,205,0,0,9,17,10,27.394887
146,192,192,198,211,40,4,146,128,192,192,205,0,0,9,17,10,28.170631
147,193,193,199,212,0,0,148,129,193,193,206,0,0,9,17,11,28.907241
148,194,194,200,213,0,0,149,131,194,194,207,0,0,9,17,11,29.730808
149,195,195,201,214,0,0,151,132,195,195,208,0,0,9,17,11,30.602281
150,196,196,202,214,0,0,152,133,196,196,209,0,0,9,17,11,31.271038
151,197,197,203,215,0,0,154,135,197,197,210,0,0,9,17,11,32.215418
152,198,198,204,215,0,0,155,136,198,198,212,0,0,9,17,11,33.197687
153,199,199,205,216,0,0,156,138,199,199,213,0,0,9,17,11,34.144946
154,199,199,206,216,0,0,158,139,199,199,214,0,0,9,17,11,34.960515
155,200,200,206,217,0,0,159,140,200,200,215,0,0,9,16,11,35.53633
156,201,201,207,217,0,0,160,142,201,201,217,0,0,9,16,12,36.671921
157,202,202,208,217,0,0,162,143,202,202,218,0,0,9,16,12,37.559004
158,203,203,209,217,0,0,163,145,203,203,219,0,0,9,16,12,38.439436
159,204,204,210,218,0,0,165,146,204,204,220,0,0,9,16,12,39.574557
160,205,205,210,218,0,0,166,147,205,205,222,0,0,9,16,12,40.393741
161,205,205,211,219,0,0,167,149,205,205,223,0,0,9,16,12,41.55012
162,206,206,212,220,0,0,169,150,206,206,224,0,0,9,16,12,42.779552
163,207,207,212,221,0,0,170,151,207,207,225,0,0,9,16,12,43.50204
164,208,208,213,222,0,0,171,152,208,208,226,0,0,9,16,13,44.706156
165,209,209,213,223,0,0,172,154,209,209,227,0,0,9,16,13,45.513094
166,209,209,214,224,0,0,174,155,209,209,228,0,0,9,16,13,46.863826
167,210,210,214,225,0,0,175,156,210,210,229,0,0,9,16,13,47.673455
168,211,211,214,226,0,0,176,157,211,211,230,0,0,9,16,13,48.505495
169,212,212,215,227,0,0,177,159,212,212,231,0,0,9,16,13,49.898427
170,213,213,215,228,0,0,179,160,213,213,232,0,0,9,15,13,50.882812
171,213,213,216,229,0,0,180,161,213,213,233,0,0,8,15,13,52.291224
172,214,214,216,230,0,0,183,164,214,214,234,0,0,8,15,13,53.566969
173,215,215,216,230,0,0,186,167,215,215,234,0,0,8,15,14,54.118303
174,216,216,216,230,0,0,189,170,216,216,235,0,0,8,15,14,55.229742
175,216,216,217,231,0,0,192,173,216,216,235,0,0,8,15,14,56.670096
176,217,217,217,231,0,0,194,176,217,217,235,0,0,8,15,14,57.213639
