level,5000k F90 3,5000k F90 4,5700k Thrive,5000k F90 1,5000k F90 2,dalid,dalie,dalif,dalig,dalih,espnow,relay1,relay2,r,g,b,power
0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0
1,0,0,11,0,0,1,1,1,1,1,1,1,0,27,3,0,0.16260065
2,0,0,13,0,0,2,2,2,2,2,2,1,0,27,4,0,0.17172665
3,0,0,14,0,0,4,4,4,4,4,4,1,0,28,5,0,0.17647996
4,0,0,16,0,0,5,5,5,5,5,5,1,0,29,6,0,0.18638494
5,0,0,18,0,0,7,7,7,7,7,7,1,0,29,7,0,0.19684584
6,0,0,19,0,0,8,8,8,8,8,8,1,0,30,8,0,0.20229444
7,0,0,21,0,0,10,10,10,10,10,10,1,0,31,9,0,0.21364826
8,0,0,23,0,0,11,11,11,11,11,11,1,0,31,10,0,0.22563932
9,0,0,25,0,0,13,13,13,13,13,13,1,0,32,11,0,0.23830337
10,0,0,26,0,0,14,14,14,14,14,14,1,0,33,12,0,0.2448995
11,0,0,28,0,0,16,16,16,16,16,16,1,0,32,12,0,0.25864454
12,0,0,30,0,0,17,17,17,17,17,17,1,0,32,12,0,0.27316102
13,0,0,32,0,0,19,19,19,19,19,19,1,0,31,13,0,0.28849224
14,0,0,34,0,0,21,21,21,21,21,21,1,0,31,13,0,0.30468393
15,0,0,35,0,0,22,22,22,22,22,22,1,0,30,14,0,0.31311744
16,0,0,37,0,0,24,24,24,24,24,24,1,0,30,14,0,0.33069123
17,0,0,39,0,0,25,25,25,25,25,25,1,0,29,15,0,0.34925135
18,0,0,41,0,0,27,27,27,27,27,27,1,0,29,15,0,0.36885316
19,0,0,42,0,0,28,28,28,28,28,28,1,0,28,15,0,0.37906284
20,0,0,44,0,0,30,30,30,30,30,30,1,0,28,16,0,0.40033783
21,0,0,46,0,0,32,32,32,32,32,32,1,0,27,16,0,0.42280688
22,0,0,48,0,0,33,33,33,33,33,33,1,0,27,17,0,0.44653701
23,0,0,49,0,0,35,35,35,35,35,35,1,0,26,17,0,0.45889695
24,0,0,51,0,0,36,36,36,36,36,36,1,0,26,17,0,0.48465264
25,0,0,53,0,0,38,38,38,38,38,38,1,0,25,18,0,0.51185388
26,0,0,55,0,0,39,39,39,39,39,39,1,0,25,18,0,0.54058179
27,0,0,57,0,0,41,41,41,41,41,41,1,0,24,19,0,0.57092207
28,0,0,58,0,0,42,42,42,42,42,42,1,0,24,19,0,0.58672492
29,0,0,60,0,0,44,44,44,44,44,44,1,0,23,20,0,0.61965499
30,0,0,62,0,0,46,46,46,46,46,46,1,0,23,20,0,0.65443326
31,0,0,64,0,0,47,47,47,47,47,47,1,0,23,20,0,0.69116348
32,0,0,65,0,0,49,49,49,49,49,49,1,0,22,20,0,0.71029456
33,0,0,67,0,0,50,50,50,50,50,50,1,0,22,20,0,0.75016
34,0,0,69,0,0,52,52,52,52,52,52,1,0,22,20,0,0.7922629
35,0,0,70,0,0,53,53,53,53,53,53,1,0,21,20,0,0.81419237
36,0,0,72,0,0,55,55,55,55,55,55,1,0,21,20,0,0.85988909
37,0,0,74,0,0,56,56,56,56,56,56,1,0,20,20,0,0.90815056
38,0,0,76,0,0,58,58,58,58,58,58,1,0,20,20,0,0.95912071
39,0,0,77,0,0,59,59,59,59,59,59,1,0,20,21,0,0.98566873
40,0,0,79,0,0,61,61,61,61,61,61,1,0,19,21,0,1.0409896
41,0,0,81,0,0,62,62,62,62,62,62,1,0,19,21,0,1.0994154
42,0,0,83,0,0,64,64,64,64,64,64,1,0,19,21,0,1.1611203
43,0,0,84,0,0,65,65,65,65,65,65,1,0,18,21,0,1.1932596
44,0,0,86,0,0,67,67,67,67,67,67,1,0,18,21,0,1.2602315
45,0,0,88,0,0,68,68,68,68,68,68,1,0,18,21,0,1.3309623
46,0,0,89,0,0,70,70,70,70,70,70,1,0,17,21,1,1.3678027
47,0,0,91,0,0,71,71,71,71,71,71,1,0,17,21,1,1.444571
48,0,0,93,0,0,73,73,73,73,73,73,1,0,16,21,1,1.5256478
49,0,0,94,0,0,74,74,74,74,74,74,1,0,16,21,1,1.5678771
50,0,0,96,0,0,76,76,76,76,76,76,1,0,16,21,1,1.6558745
51,0,0,98,0,0,77,77,77,77,77,77,1,0,15,21,1,1.7488108
52,0,0,99,0,0,79,79,79,79,79,79,1,0,15,21,1,1.7972171
53,0,0,101,0,0,80,80,80,80,80,80,1,0,15,21,1,1.8980863
54,0,0,103,0,0,82,82,82,82,82,82,1,0,14,22,1,2.0046168
55,0,0,104,0,0,83,83,83,83,83,83,1,0,14,22,1,2.0601037
56,0,0,106,0,0,85,85,85,85,85,85,1,0,14,22,1,2.1757275
57,0,0,108,0,0,86,86,86,86,86,86,1,0,13,22,1,2.2978407
58,0,0,109,0,0,87,87,87,87,87,87,1,0,13,22,1,2.3614438
59,0,0,111,0,0,89,89,89,89,89,89,1,0,12,22,1,2.4939804
60,0,0,112,0,0,90,90,90,90,90,90,1,0,12,22,1,2.5630126
61,0,0,114,0,0,92,92,92,92,92,92,1,0,12,22,1,2.7068623
62,0,0,116,0,0,93,93,93,93,93,93,1,0,11,22,1,2.8587855
63,0,0,117,0,0,95,95,95,95,95,95,1,0,11,22,1,2.9379154
