level,F90s,S90,5000k Thrive,dalib,dalic,dalid,dalie,dalif,dalig,dalih,espnow,relay1,relay2,r,g,b,power
0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,254,254,254,0
2,0,0,21,2,2,2,2,2,2,2,2,1,0,27,4,0,0.034183721
3,0,0,22,4,4,4,4,4,4,4,4,1,0,28,5,0,0.035129911
4,0,0,24,5,5,5,5,5,5,5,5,1,0,29,6,0,0.037101585
5,0,0,26,7,7,7,7,7,7,7,7,1,0,29,7,0,0.03918392
6,0,0,28,8,8,8,8,8,8,8,8,1,0,30,8,0,0.041383126
7,0,0,30,10,10,10,10,10,10,10,10,1,0,31,9,0,0.043705763
8,0,0,32,11,11,11,11,11,11,11,11,1,0,31,10,0,0.046158759
9,0,0,34,13,13,13,13,13,13,13,13,1,0,32,11,0,0.04874943
10,0,0,36,14,14,14,14,14,14,14,14,1,0,33,12,0,0.051485502
11,0,0,38,16,16,16,16,16,16,16,16,1,0,32,12,0,0.054375137
12,0,0,40,17,17,17,17,17,17,17,17,1,0,32,12,0,0.057426954
13,0,0,41,19,19,19,19,19,19,19,19,1,0,31,13,0,0.059016506
14,0,0,43,21,21,21,21,21,21,21,21,1,0,31,13,0,0.06232882
15,0,0,45,22,22,22,22,22,22,22,22,1,0,30,14,0,0.065827039
16,0,0,47,24,24,24,24,24,24,24,24,1,0,30,14,0,0.069521596
17,0,0,49,25,25,25,25,25,25,25,25,1,0,29,15,0,0.073423511
18,0,0,51,27,27,27,27,27,27,27,27,1,0,29,15,0,0.077544422
19,0,0,53,28,28,28,28,28,28,28,28,1,0,28,15,0,0.08189662
20,0,0,55,30,30,30,30,30,30,30,30,1,0,28,16,0,0.086493087
21,0,0,57,32,32,32,32,32,32,32,32,1,0,27,16,0,0.09134753
22,0,0,59,33,33,33,33,33,33,33,33,1,0,27,17,0,0.096474431
23,0,0,61,35,35,35,35,35,35,35,35,1,0,26,17,0,0.10188908
24,0,0,63,36,36,36,36,36,36,36,36,1,0,26,17,0,0.10760763
25,0,0,65,38,38,38,38,38,38,38,38,1,0,25,18,0,0.11364713
26,0,0,67,39,39,39,39,39,39,39,39,1,0,25,18,0,0.1200256
27,0,0,69,41,41,41,41,41,41,41,41,1,0,24,19,0,0.12676206
28,0,0,71,42,42,42,42,42,42,42,42,1,0,24,19,0,0.13387661
29,0,0,73,44,44,44,44,44,44,44,44,1,0,23,20,0,0.14139047
30,0,0,75,46,46,46,46,46,46,46,46,1,0,23,20,0,0.14932604
31,0,0,76,47,47,47,47,47,47,47,47,1,0,23,20,0,0.15345931
32,0,0,78,49,49,49,49,49,49,49,49,1,0,22,20,0,0.16207225
33,0,0,80,50,50,50,50,50,50,50,50,1,0,22,20,0,0.17116859
34,0,0,82,52,52,52,52,52,52,52,52,1,0,22,20,0,0.18077547
35,0,0,84,53,53,53,53,53,53,53,53,1,0,21,20,0,0.19092153
36,0,0,86,55,55,55,55,55,55,55,55,1,0,21,20,0,0.20163705
37,0,0,88,56,56,56,56,56,56,56,56,1,0,20,20,0,0.21295397
38,0,0,90,58,58,58,58,58,58,58,58,1,0,20,20,0,0.22490606
39,0,0,92,59,59,59,59,59,59,59,59,1,0,20,21,0,0.23752896
40,0,0,94,61,61,61,61,61,61,61,61,1,0,19,21,0,0.25086033
41,0,0,96,62,62,62,62,62,62,62,62,1,0,19,21,0,0.26493992
42,0,0,97,64,64,64,64,64,64,64,64,1,0,19,21,0,0.27227334
43,0,0,99,65,65,65,65,65,65,65,65,1,0,18,21,0,0.28755474
44,0,0,101,67,67,67,67,67,67,67,67,1,0,18,21,0,0.30369381
45,0,0,103,68,68,68,68,68,68,68,68,1,0,18,21,0,0.32073869
46,0,0,105,70,70,70,70,70,70,70,70,1,0,17,21,1,0.33874022
47,0,0,107,71,71,71,71,71,71,71,71,1,0,17,21,1,0.3577521
48,0,0,109,73,73,73,73,73,73,73,73,1,0,16,21,1,0.37783101
49,0,0,110,74,74,74,74,74,74,74,74,1,0,16,21,1,0.3882892
50,0,0,112,76,76,76,76,76,76,76,76,1,0,16,21,1,0.41008202
51,0,0,114,77,77,77,77,77,77,77,77,1,0,15,21,1,0.43309796
52,0,0,116,79,79,79,79,79,79,79,79,1,0,15,21,1,0.45740568
53,0,0,118,80,80,80,80,80,80,80,80,1,0,15,21,1,0.48307768
54,0,0,120,82,82,82,82,82,82,82,82,1,0,14,22,1,0.51019052
55,0,0,121,83,83,83,83,83,83,83,83,1,0,14,22,1,0.52431235
56,0,0,123,85,85,85,85,85,85,85,85,1,0,14,22,1,0.5537395
57,0,0,125,86,86,86,86,86,86,86,86,1,0,13,22,1,0.58481826
58,0,0,127,87,87,87,87,87,87,87,87,1,0,13,22,1,0.61764131
59,0,0,129,89,89,89,89,89,89,89,89,1,0,12,22,1,0.65230657
60,0,0,130,90,90,90,90,90,90,90,90,1,0,12,22,1,0.67036211
61,0,0,132,92,92,92,92,92,92,92,92,1,0,12,22,1,0.70798633
62,0,0,134,93,93,93,93,93,93,93,93,1,0,11,22,1,0.74772222
63,0,0,136,95,95,95,95,95,95,95,95,1,0,11,22,1,0.7896883
64,0,0,138,96,96,96,96,96,96,96,96,1,0,11,22,1,0.83400973
65,0,0,139,97,97,97,97,97,97,97,97,1,0,11,22,1,0.85709473
66,0,0,141,99,99,99,99,99,99,99,99,1,0,11,22,1,0.90519937
67,0,0,143,100,100,100,100,100,100,100,100,1,0,11,22,1,0.95600388
68,0,0,144,102,102,102,102,102,102,102,102,1,0,11,22,2,0.98246563
69,0,0,146,103,103,103,103,103,103,103,103,1,0,10,22,2,1.0376067
70,0,0,148,104,104,104,104,104,104,104,104,1,0,10,22,2,1.0958426
71,0,0,150,106,106,106,106,106,106,106,106,1,0,10,22,2,1.1573471
72,0,0,151,107,107,107,107,107,107,107,107,1,0,10,22,2,1.1893819
73,0,0,153,108,108,108,108,108,108,108,108,1,0,10,22,2,1.2561362
74,0,0,155,110,110,110,110,110,110,110,110,1,0,10,22,2,1.3266371
75,0,0,156,111,111,111,111,111,111,111,111,1,0,10,21,2,1.3633578
76,0,0,158,112,112,112,112,112,112,112,112,1,0,10,21,2,1.4398766
77,0,0,160,114,114,114,114,114,114,114,114,1,0,10,21,3,1.52069
78,0,0,161,115,115,115,115,115,115,115,115,1,0,10,21,3,1.562782
79,0,0,163,116,116,116,116,116,116,116,116,1,0,10,21,3,1.6504935
80,0,0,165,118,118,118,118,118,118,118,118,1,0,10,21,3,1.7431278
81,0,0,166,119,119,119,119,119,119,119,119,1,0,10,21,3,1.7913767
82,0,0,168,120,120,120,120,120,120,120,120,1,0,10,21,3,1.8919182
83,0,0,170,122,122,122,122,122,122,122,122,1,0,10,21,3,1.9981025
84,0,0,171,123,123,123,123,123,123,123,123,1,0,10,21,3,2.053409
85,0,0,173,124,124,124,124,124,124,124,124,1,0,10,21,3,2.1686571
86,0,0,175,126,126,126,126,126,126,126,126,1,0,10,21,4,2.2903734
87,0,0,176,127,127,127,127,127,127,127,127,1,0,10,21,4,2.3537699
88,0,0,178,128,128,128,128,128,128,128,128,1,0,10,21,4,2.4858758
89,0,0,179,129,129,129,129,129,129,129,129,1,0,10,21,4,2.5546836
90,0,0,181,131,131,131,131,131,131,131,131,1,0,10,21,4,2.6980658
91,0,0,183,132,132,132,132,132,132,132,132,1,0,10,20,4,2.8494954
92,0,0,184,133,133,133,133,133,133,133,133,1,0,10,20,4,2.9283681
93,0,0,186,135,135,135,135,135,135,135,135,1,0,10,20,4,3.0927234
94,0,0,187,136,136,136,136,136,136,136,136,1,0,10,20,5,3.1783285
95,0,0,189,137,137,137,137,137,137,137,137,1,0,10,20,5,3.3567129
96,0,0,190,138,138,138,138,138,138,138,138,1,0,10,20,5,3.4496252
97,0,0,192,139,139,139,139,139,139,139,139,1,0,10,20,5,3.6432362
98,0,0,193,141,141,141,141,141,141,141,141,1,0,10,20,5,3.7440792
99,0,0,195,142,142,142,142,142,142,142,142,1,0,10,20,5,3.9542165
100,0,0,196,143,143,143,143,143,143,143,143,1,0,10,20,5,4.0636674
101,0,0,198,144,144,144,144,144,144,144,144,1,0,10,20,5,4.2917416
102,0,0,199,146,146,146,146,146,146,146,146,1,0,10,20,5,4.410535
103,0,0,201,147,147,147,147,147,147,147,147,1,0,10,20,6,4.6580773
104,0,0,202,148,148,148,148,148,148,148,148,1,0,10,20,6,4.7870107
105,0,0,204,149,149,149,149,149,149,149,149,1,0,10,20,6,5.0556828
106,0,0,205,150,150,150,150,150,150,150,150,1,0,10,20,6,5.1956217
107,0,0,207,151,151,151,151,151,151,151,151,1,0,10,19,6,5.4872271
108,0,0,208,153,153,153,153,153,153,153,153,1,0,10,19,6,5.639111
109,0,0,210,154,154,154,154,154,154,154,154,1,0,10,19,6,5.9556074
110,0,0,211,155,155,155,155,155,155,155,155,1,0,10,19,6,6.1204558
111,0,0,213,156,156,156,156,156,156,156,156,1,0,10,19,6,6.4639678
112,0,0,214,157,157,157,157,157,157,157,157,1,0,10,19,7,6.6428874
113,0,0,215,158,158,158,158,158,158,158,158,1,0,10,19,7,6.8267594
114,0,0,217,159,159,159,159,159,159,159,159,1,0,10,19,7,7.2099128
115,0,0,218,161,161,161,161,161,161,161,161,1,0,10,19,7,7.4094798
116,0,0,220,162,162,162,162,162,162,162,162,1,0,10,19,7,7.8253385
