level,f90,zeroten2,hexagons,tv 5000k,tv 6500k,corner 6500k,piano,relay1,relay2
0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,47,47,46,1,1
2,0,2,0,0,48,48,47,2,2
3,0,3,0,0,49,49,48,3,3
4,0,4,0,0,50,50,49,4,4
5,0,5,0,0,51,51,50,5,5
6,0,6,0,0,52,52,51,6,6
7,0,7,0,0,53,53,52,7,7
8,0,8,0,0,54,54,53,8,8
9,0,9,0,0,55,55,54,9,9
10,0,10,0,0,56,56,55,10,10
11,0,11,0,0,57,57,56,11,11
12,0,12,0,0,58,58,57,12,12
13,0,13,0,0,59,59,58,13,13
14,0,14,0,0,60,60,59,14,14
15,0,15,0,0,61,61,60,15,15
16,0,16,0,0,62,62,61,16,16
17,0,17,0,0,63,63,62,17,17
18,0,18,0,0,64,64,63,18,18
19,0,19,0,0,65,65,64,19,19
20,0,20,0,0,66,66,65,20,20
21,0,21,0,0,67,67,66,21,21
22,0,22,0,0,68,68,67,22,22
23,0,23,0,0,69,69,68,23,23
24,0,24,0,0,70,70,69,24,24
25,0,25,0,0,71,71,70,25,25
26,0,26,0,0,72,72,71,26,26
27,0,27,0,0,73,73,72,27,27
28,0,28,0,0,74,74,73,28,28
29,0,29,0,0,75,75,74,29,29
30,0,30,0,0,76,76,75,30,30
31,0,31,0,0,77,77,76,31,31
32,0,32,0,0,78,78,77,32,32
33,0,33,0,0,79,79,78,33,33
34,0,34,0,0,80,80,79,34,34
35,0,35,0,0,81,81,80,35,35
36,0,36,0,0,82,82,81,36,36
37,0,37,0,0,83,83,82,37,37
38,0,38,0,0,84,84,83,38,38
39,0,39,0,0,85,85,84,39,39
40,0,40,0,0,86,86,85,40,40
41,0,41,0,0,87,87,86,41,41
42,0,42,0,0,88,88,87,42,42
43,0,43,0,0,89,89,88,43,43
44,0,44,0,0,90,90,89,44,44
45,0,45,0,0,91,91,90,45,45
46,0,46,0,0,92,92,91,46,46
47,0,47,0,0,93,93,92,47,47
48,0,48,0,0,94,94,93,48,48
49,0,49,0,0,95,95,94,49,49
50,0,50,0,0,96,96,95,50,50
51,0,51,0,0,97,97,96,51,51
52,0,52,0,0,98,98,97,52,52
53,0,53,0,0,99,99,98,53,53
54,0,54,0,0,100,100,99,54,54
55,0,55,0,0,101,101,100,55,55
56,0,56,0,0,102,102,101,56,56
57,0,57,0,0,103,103,102,57,57
58,0,58,0,0,104,104,103,58,58
59,0,59,0,0,105,105,104,59,59
60,0,60,0,0,106,106,105,60,60
61,0,61,0,0,107,107,106,61,61
62,0,62,0,0,108,108,107,62,62
63,0,63,0,0,109,109,108,63,63
64,0,64,0,0,110,110,109,64,64
65,0,65,0,0,111,111,110,65,65
66,0,66,0,0,112,112,111,66,66
67,0,67,0,0,113,113,112,67,67
68,0,68,0,0,114,114,113,68,68
69,0,69,0,0,115,115,114,69,69
70,0,70,0,0,116,116,115,70,70
71,0,71,0,0,117,117,116,71,71
72,0,72,0,0,118,118,117,72,72
73,0,73,0,0,119,119,118,73,73
74,0,74,0,0,120,120,119,74,74
75,0,75,0,0,121,121,120,75,75
76,0,76,0,0,122,122,121,76,76
77,0,77,0,0,123,123,122,77,77
78,0,78,0,0,124,124,123,78,78
79,0,79,0,0,125,125,124,79,79
